Page,Pageviews,Unique_Pageviews,Entrances,Bounce_Rate,Exit_Percent
/post/125602755114/dealing-with-soap-apis-in-nodejs,2096.00,1002.00,1001.00,0.05,0.47
/post/124384584999/why-i-chose-hapi,643.00,316.00,314.00,0.04,0.47
/post/139767283174/apache-spark-linear-regression-with-stochastic,235.00,81.00,79.00,0.05,0.34
/,192.00,92.00,53.00,0.23,0.30
/post/115530471149/sentiment-analysis-in-nodejs,145.00,65.00,64.00,0.00,0.43
/post/126964236829/nba-shot-charts-with-nodejs-and-d3js,137.00,57.00,57.00,0.02,0.41
/post/136021514399/highlandjs-to-the-rescue,134.00,58.00,54.00,0.00,0.40
/post/132376283459/nodejs-fibers-and-futures,121.00,55.00,54.00,0.06,0.45
/post/101825278769/named-entity-recognition-with-javascript,97.00,46.00,44.00,0.00,0.45
/post/128386483144/hapi-http-mocking-with-nockjs,93.00,42.00,41.00,0.00,0.44
/post/140531306084/writing-a-spark-dataframe-to-mysql-tips-and,93.00,46.00,46.00,0.09,0.47
/post/95252758874/using-selenium-beautiful-soup-to-scrape-ajax,63.00,29.00,29.00,0.03,0.46
/page/2,60.00,28.00,1.00,0.00,0.03
/post/112009593054/understanding-express-middleware,58.00,28.00,28.00,0.00,0.45
/page/3,53.00,23.00,0.00,0.00,0.08
/post/110777599849/mongodb-mongoose-vs-sql,48.00,22.00,22.00,0.00,0.42
/post/75709884046/list-of-drug-names-used-in-the-wire,47.00,21.00,21.00,0.05,0.45
/post/76499800817/babe-ruth-a-career-analysis-with-r-and-plotly,42.00,16.00,16.00,0.31,0.38
/page/4,41.00,20.00,1.00,0.00,0.05
/post/106920505319/big-l-ebonics-javascript-dictionary,40.00,20.00,20.00,0.00,0.50
/post/75156161339/the-tinder-experiment,39.00,20.00,19.00,0.05,0.46
/aboutme,36.00,14.00,1.00,0.00,0.22
/page/5,36.00,17.00,1.00,0.00,0.03
/post/128830166654/process-monitoring-in-nodejs-pm2-vs-good,36.00,16.00,14.00,0.00,0.36
/post/127918589639/upset-visualization-with-opencpujs,32.00,16.00,16.00,0.00,0.47
/page/6,31.00,15.00,0.00,0.00,0.06
/post/112943812819/harmonic-and-geometric-means-in-javascript,30.00,14.00,14.00,0.00,0.47
/post/106174663154/fun-with-nodejs-and-the-wolfram-alpha-api,28.00,13.00,13.00,0.00,0.46
/post/89790077794/analyzing-kendrick-lamar-lyrics-with-javascript,27.00,11.00,10.00,0.10,0.37
/page/7,25.00,12.00,0.00,0.00,0.04
/page/9,23.00,11.00,0.00,0.00,0.04
/page/8,22.00,11.00,0.00,0.00,0.00
/page/11,20.00,9.00,0.00,0.00,0.05
/page/12,20.00,8.00,0.00,0.00,0.00
/post/111214791354/sentiment-tagging-with-aylien,20.00,10.00,10.00,0.00,0.50
/page/10,18.00,9.00,0.00,0.00,0.00
/page/13,18.00,8.00,0.00,0.00,0.06
/post/109627058549/elastic-search-in-meanjs,18.00,9.00,9.00,0.00,0.50
/ask,14.00,5.00,0.00,0.00,0.07
/post/100953565569/our-story,14.00,7.00,6.00,0.00,0.43
/post/125093386299/handling-data-in-nodejs-using-datalib,14.00,6.00,6.00,0.00,0.43
/post/138390132094/starting-scala-library-dependencies-with-sbt,14.00,7.00,7.00,0.00,0.50
/post/136024955899/event-emitters-basics,13.00,5.00,1.00,0.00,0.08
/page/14,12.00,6.00,0.00,0.00,0.00
/post/126063752124/the-most-popular-nodejs-framework,12.00,6.00,4.00,0.00,0.33
/post/127678854814/hapijs-presentation,12.00,7.00,6.00,0.33,0.42
/post/74905590619/my-experiments-with-online-dating,12.00,6.00,5.00,0.00,0.33
/page/15,10.00,5.00,0.00,0.00,0.00
/page/16,10.00,5.00,0.00,0.00,0.10
/post/111525937739/nested-schemas-in-mongoose,10.00,5.00,5.00,0.00,0.50
/post/74999808880/the-matchcom-experiment,10.00,5.00,5.00,0.00,0.50
/post/81962328005/analyzing-linkedin-job-recommendations-with-r,10.00,5.00,5.00,0.00,0.50
/page/17,8.00,4.00,0.00,0.00,0.00
/page/18,8.00,4.00,0.00,0.00,0.00
/page/19,8.00,4.00,0.00,0.00,0.00
/page/20,8.00,4.00,0.00,0.00,0.00
/post/104332749469/predicting-weather-on-my-wedding-day-with,8.00,3.00,3.00,0.00,0.38
/post/136136604014/simple-notification-proof-of-concept-with,8.00,4.00,3.00,0.00,0.38
/post/31569160573/yes-very-happy-models,8.00,4.00,4.00,0.00,0.50
/post/44868936630/jeans,8.00,3.00,3.00,0.00,0.38
/post/97859136399/minimalism-putting-my-stuff-to-use,8.00,4.00,4.00,0.00,0.50
/page/21,6.00,3.00,0.00,0.00,0.00
/page/22,6.00,3.00,0.00,0.00,0.00
/page/24,6.00,3.00,0.00,0.00,0.00
/post/104223440114/plotting-strava-data-with-plotly-and-javascript,6.00,3.00,3.00,0.00,0.50
/post/125673370584/marriage-its-been-almost-5-months-since-i-made,6.00,3.00,0.00,0.00,0.50
/post/37143799628/must-have-socks,6.00,3.00,3.00,0.00,0.50
/post/59986624996/broke-friends,6.00,3.00,1.00,0.00,0.17
/post/71918184383/steroids-nvd3js-with-rcharts,6.00,3.00,3.00,0.00,0.50
/post/77755368484/best-new-music-analyzing-pitchfork-with-r,6.00,3.00,3.00,0.00,0.50
/post/79064654586/trying-julia,6.00,3.00,3.00,0.00,0.50
/tagged/javascript,6.00,3.00,0.00,0.00,0.17
/tagged/observations,6.00,1.00,0.00,0.00,0.17
/post/44868873433/sleeping-in-public,5.00,2.00,2.00,0.00,0.40
/post/91385929044/a-look-into-free-masonry-r-cartodb,5.00,3.00,3.00,0.33,0.60
/page/23,4.00,2.00,0.00,0.00,0.00
/page/25,4.00,2.00,0.00,0.00,0.25
/page/26,4.00,2.00,0.00,0.00,0.00
/page/28,4.00,2.00,0.00,0.00,0.00
/page/30,4.00,2.00,0.00,0.00,0.00
/page/32,4.00,2.00,0.00,0.00,0.00
/page/34,4.00,2.00,0.00,0.00,0.00
/page/36,4.00,2.00,0.00,0.00,0.00
/page/38,4.00,2.00,0.00,0.00,0.00
/page/40,4.00,2.00,0.00,0.00,0.00
/post/110816590364/deezer-review,4.00,2.00,2.00,0.00,0.50
/post/134505016479/dont-call-me-brothaaa,4.00,2.00,0.00,0.00,0.25
/post/61521537508/survival-analysis-for-ab-tests,4.00,2.00,2.00,0.00,0.50
/post/66716204405/8-giving-gifts-too-soon,4.00,2.00,2.00,0.00,0.25
/post/70497256933/why-i-love-prismatic,4.00,3.00,1.00,0.00,0.25
/post/89232583864/visualizing-everpix-data-with-vidaio,4.00,2.00,1.00,0.00,0.25
/post/91155384269/industrial-coil-stool,4.00,1.00,1.00,0.00,0.25
/post/93255062529/remembering-moesha,4.00,2.00,2.00,0.00,0.50
/post/94663915944/next-career-steps,4.00,2.00,0.00,0.00,0.25
/post/97613353559/trying-ggvis,4.00,2.00,2.00,0.00,0.50
/post/2918231690/no-i-dont-worry-i-tell-you-i-am-a-man-who,3.00,2.00,2.00,0.50,0.67
/page/27,2.00,1.00,0.00,0.00,0.00
/page/29,2.00,1.00,0.00,0.00,0.00
/page/31,2.00,1.00,0.00,0.00,0.00
/page/33,2.00,1.00,0.00,0.00,0.00
/page/35,2.00,1.00,0.00,0.00,0.00
/page/37,2.00,1.00,0.00,0.00,0.00
/page/39,2.00,1.00,0.00,0.00,0.00
/page/42,2.00,1.00,0.00,0.00,0.00
/page/44,2.00,1.00,0.00,0.00,0.50
/post/103019107734/vent-utah-air-quality,2.00,1.00,1.00,0.00,0.50
/post/109882770259/runtimejs-looks-amazing,2.00,1.00,1.00,0.00,0.50
/post/110137846084/isomer-academy-review,2.00,1.00,1.00,0.00,0.50
/post/112114801649/wow,2.00,1.00,0.00,0.00,0.00
/post/112903870854/sphero,2.00,1.00,0.00,0.00,0.00
/post/115097733714/been-on-another-level-since-you-came-no-more,2.00,1.00,1.00,0.00,0.50
/post/11704757192/more-shoes,2.00,1.00,1.00,0.00,0.50
/post/117467103694,2.00,1.00,0.00,0.00,0.00
/post/124384584999/why-i-chose-hapi?ref=dzone,2.00,1.00,1.00,0.00,0.50
/post/125602755114/dealing-with-soap-apis-in-nodejs?ref=dzone,2.00,1.00,1.00,0.00,0.50
/post/126695662389/dope,2.00,1.00,0.00,0.00,0.50
/post/126935446079/space,2.00,1.00,0.00,0.00,0.00
/post/136402002734/the-five-best-books-i-read-in-2015,2.00,1.00,1.00,0.00,0.00
/post/2330323627/what-to-get-white-people-for-christmas,2.00,1.00,1.00,0.00,0.50
/post/24664319528/mostexerent-cant-go-wrong-when-a-girl-has-pins,2.00,1.00,1.00,0.00,0.50
/post/3236690799/amazing-son,2.00,1.00,0.00,0.00,0.00
/post/36222159291/i-want-this,2.00,1.00,0.00,0.00,0.00
/post/4234729096/maybe-get-this-jacket,2.00,1.00,0.00,0.00,0.00
/post/42940666292/sculptures-carved-from-egg-shells-by-chinese,2.00,1.00,0.00,0.00,0.50
/post/44868922377/black-jokes,2.00,1.00,1.00,0.00,0.50
/post/59598632215/httpenrocketnews24com20130820malaysian-mot,2.00,1.00,1.00,0.00,0.50
/post/63317339542/3-asking-her-out-too-soon,2.00,1.00,1.00,0.00,0.50
/post/64025399120/visualizing-discontinuous-web-data,2.00,1.00,1.00,0.00,0.50
/post/70099073966/padnick-wonderali-thehandsthatthieve,2.00,1.00,0.00,0.00,0.00
/post/75904410939/those-socks-though,2.00,1.00,1.00,0.00,0.50
/post/75941130034/cycling-caps-are-dope,2.00,1.00,1.00,0.00,0.50
/post/86466499209/the-dirichlet-process-the-chinese-restaurant,2.00,1.00,1.00,0.00,0.50
/post/947871119/boycott-matisyahu,2.00,1.00,1.00,0.00,0.50
/post/99014820144/riding-the-frontrunner-to-work,2.00,1.00,0.00,0.00,0.00
/search?q=cache:H71sjTdLf4YJ:jowanza.com/post/125602755114/dealing-with-soap-apis-in-nodejs+&cd=3&hl=en&ct=clnk&gl=us,2.00,1.00,1.00,0.00,0.50
/search?q=cache:wvA9Xq219ywJ:www.jowanza.com/post/125602755114/dealing-with-soap-apis-in-nodejs+&cd=5&hl=fr&ct=clnk&gl=fr,2.00,1.00,1.00,0.00,0.50
/search/D3,2.00,1.00,0.00,0.00,0.50
/search/koa,2.00,1.00,0.00,0.00,0.00
/tagged/observations/page/2,2.00,1.00,0.00,0.00,0.00
/post/25390067529/mostexerent-freedom,1.00,1.00,1.00,1.00,1.00
/post/2925110536/breakfast,1.00,1.00,0.00,0.00,0.00
/tagged/Scala,1.00,1.00,1.00,1.00,1.00